Time,Open,High,Low,Latest,Change
10/01/25,29.82,29.82,29.82,29.82,0.1047
09/30/25,29.7153,29.7153,29.7153,29.7153,0.1143
09/29/25,29.601,29.601,29.601,29.601,-0.0191
09/26/25,29.6201,29.6201,29.6201,29.6201,0.1904
09/25/25,29.4297,29.4297,29.4297,29.4297,-0.0571
09/24/25,29.4868,29.4868,29.4868,29.4868,0.0571
09/23/25,29.4297,29.4297,29.4297,29.4297,-0.0857
09/22/25,29.5154,29.5154,29.5154,29.5154,0.2286
09/19/25,29.2868,29.2868,29.2868,29.2868,0.0952
09/18/25,29.1916,29.1916,29.1916,29.1916,0.2094
09/17/25,28.9822,28.9822,28.9822,28.9822,0.0572
09/16/25,28.925,28.925,28.925,28.925,-0.1524
09/15/25,29.0774,29.0774,29.0774,29.0774,-0.0476
09/12/25,29.125,29.125,29.125,29.125,-0.0286
09/11/25,29.1536,29.1536,29.1536,29.1536,0.1714
09/10/25,28.9822,28.9822,28.9822,28.9822,0.0095
09/09/25,28.9727,28.9727,28.9727,28.9727,0.1714
09/08/25,28.8013,28.8013,28.8013,28.8013,-0.0095
09/05/25,28.8108,28.8108,28.8108,28.8108,-0.1238
09/04/25,28.9346,28.9346,28.9346,28.9346,0.2952
09/03/25,28.6394,28.6394,28.6394,28.6394,0.3047
09/02/25,28.3347,28.3347,28.3347,28.3347,-0.0857
09/01/25,28.4204,28.4204,28.4204,28.4204,0
08/29/25,28.4204,28.4204,28.4204,28.4204,-0.1809
08/28/25,28.6013,28.6013,28.6013,28.6013,0.019
08/27/25,28.5823,28.5823,28.5823,28.5823,-0.0476
08/26/25,28.6299,28.6299,28.6299,28.6299,0.0667
08/25/25,28.5632,28.5632,28.5632,28.5632,-0.0667
08/22/25,28.6299,28.6299,28.6299,28.6299,0.1714
08/21/25,28.4585,28.4585,28.4585,28.4585,-0.0571
08/20/25,28.5156,28.5156,28.5156,28.5156,-0.0096
08/19/25,28.5252,28.5252,28.5252,28.5252,0.0286
08/18/25,28.4966,28.4966,28.4966,28.4966,-0.0381
08/15/25,28.5347,28.5347,28.5347,28.5347,-0.0857
08/14/25,28.6204,28.6204,28.6204,28.6204,0.1238
08/13/25,28.4966,28.4966,28.4966,28.4966,0.0857
08/12/25,28.4109,28.4109,28.4109,28.4109,0.2856
08/11/25,28.1253,28.1253,28.1253,28.1253,-0.0095
08/08/25,28.1348,28.1348,28.1348,28.1348,0.3332
08/07/25,27.8016,27.8016,27.8016,27.8016,-0.1142
08/06/25,27.9158,27.9158,27.9158,27.9158,0.219
08/05/25,27.6968,27.6968,27.6968,27.6968,0.1999
08/04/25,27.4969,27.4969,27.4969,27.4969,0
08/01/25,27.4969,27.4969,27.4969,27.4969,-0.5141
07/31/25,28.011,28.011,28.011,28.011,0.0095
07/30/25,28.0015,28.0015,28.0015,28.0015,0
07/29/25,28.0015,28.0015,28.0015,28.0015,0.019
07/28/25,27.9825,27.9825,27.9825,27.9825,0.0572
07/25/25,27.9253,27.9253,27.9253,27.9253,0.2094
07/24/25,27.7159,27.7159,27.7159,27.7159,0.0762
07/23/25,27.6397,27.6397,27.6397,27.6397,0.2571
07/22/25,27.3826,27.3826,27.3826,27.3826,-0.1238
07/21/25,27.5064,27.5064,27.5064,27.5064,-0.0571
07/18/25,27.5635,27.5635,27.5635,27.5635,-0.0096
07/17/25,27.5731,27.5731,27.5731,27.5731,0.2571
07/16/25,27.316,27.316,27.316,27.316,-0.0285
07/15/25,27.3445,27.3445,27.3445,27.3445,-0.1238
07/14/25,27.4683,27.4683,27.4683,27.4683,0.1142
07/11/25,27.3541,27.3541,27.3541,27.3541,-0.0761
07/10/25,27.4302,27.4302,27.4302,27.4302,-0.0286
07/09/25,27.4588,27.4588,27.4588,27.4588,0.1428
07/08/25,27.316,27.316,27.316,27.316,-0.019
07/07/25,27.335,27.335,27.335,27.335,-0.0381
07/04/25,27.3731,27.3731,27.3731,27.3731,0.0476
07/03/25,27.3255,27.3255,27.3255,27.3255,0.2285
07/02/25,27.097,27.097,27.097,27.097,-0.0476
06/30/25,27.1446,27.1446,27.1446,27.1446,0
06/27/25,27.1446,27.1446,27.1446,27.1446,0.3142
06/26/25,26.8304,26.8304,26.8304,26.8304,0.0381
06/25/25,26.7923,26.7923,26.7923,26.7923,-0.0191
06/24/25,26.8114,26.8114,26.8114,26.8114,0.2381
06/23/25,26.5733,26.5733,26.5733,26.5733,0.2285
06/20/25,26.3448,26.3448,26.3448,26.3448,-0.0096
06/19/25,26.3544,26.3544,26.3544,26.3544,-0.0095
06/18/25,26.3639,26.3639,26.3639,26.3639,0.0381
06/17/25,26.3258,26.3258,26.3258,26.3258,-0.1142
06/16/25,26.44,26.44,26.44,26.44,0.2665
06/13/25,26.1735,26.1735,26.1735,26.1735,-0.4189
06/12/25,26.5924,26.5924,26.5924,26.5924,0.0381
06/11/25,26.5543,26.5543,26.5543,26.5543,-0.1428
06/10/25,26.6971,26.6971,26.6971,26.6971,0.0476
06/09/25,26.6495,26.6495,26.6495,26.6495,-0.0857
06/06/25,26.7352,26.7352,26.7352,26.7352,0.3428
06/05/25,26.3924,26.3924,26.3924,26.3924,-0.1048
06/04/25,26.4972,26.4972,26.4972,26.4972,-0.0761
06/03/25,26.5733,26.5733,26.5733,26.5733,0.1618
06/02/25,26.4115,26.4115,26.4115,26.4115,0.0476
05/30/25,26.3639,26.3639,26.3639,26.3639,-0.1523
05/29/25,26.5162,26.5162,26.5162,26.5162,0.0762
05/28/25,26.44,26.44,26.44,26.44,-0.1619
05/27/25,26.6019,26.6019,26.6019,26.6019,0.7331
05/26/25,25.8688,25.8688,25.8688,25.8688,0.0095
05/23/25,25.8593,25.8593,25.8593,25.8593,-0.5236
05/22/25,26.3829,26.3829,26.3829,26.3829,-0.0191
05/21/25,26.402,26.402,26.402,26.402,-0.4379
05/20/25,26.8399,26.8399,26.8399,26.8399,-0.1619
05/16/25,27.0018,27.0018,27.0018,27.0018,0.238
05/15/25,26.7638,26.7638,26.7638,26.7638,0.1238
05/14/25,26.64,26.64,26.64,26.64,0.0952
05/13/25,26.5448,26.5448,26.5448,26.5448,0.0857
05/12/25,26.4591,26.4591,26.4591,26.4591,1.0092
05/09/25,25.4499,25.4499,25.4499,25.4499,-0.0285
05/08/25,25.4784,25.4784,25.4784,25.4784,0.2666
05/07/25,25.2118,25.2118,25.2118,25.2118,0.1999
05/06/25,25.0119,25.0119,25.0119,25.0119,-0.1999
05/05/25,25.2118,25.2118,25.2118,25.2118,-0.0952
05/02/25,25.307,25.307,25.307,25.307,0.2951
05/01/25,25.0119,25.0119,25.0119,25.0119,0.2571
04/30/25,24.7548,24.7548,24.7548,24.7548,-0.0191
04/29/25,24.7739,24.7739,24.7739,24.7739,0.1714
04/28/25,24.6025,24.6025,24.6025,24.6025,-0.0571
