Time,Open,High,Low,Latest,Change
07/15/25,21.2048,21.2048,21.2048,21.2048,-0.0458
07/14/25,21.2506,21.2506,21.2506,21.2506,-0.0666
07/11/25,21.3172,21.3172,21.3172,21.3172,-0.2954
07/10/25,21.6126,21.6126,21.6126,21.6126,0.1203
07/09/25,21.4923,21.4923,21.4923,21.4923,0.1055
07/08/25,21.3868,21.3868,21.3868,21.3868,0.1014
07/07/25,21.2854,21.2854,21.2854,21.2854,-0.0119
07/04/25,21.2973,21.2973,21.2973,21.2973,0.005
07/03/25,21.2923,21.2923,21.2923,21.2923,-0.0637
07/02/25,21.356,21.356,21.356,21.356,0.1611
07/01/25,21.1949,21.1949,21.1949,21.1949,0
06/30/25,21.1949,21.1949,21.1949,21.1949,-0.0974
06/27/25,21.2923,21.2923,21.2923,21.2923,0.3581
06/26/25,20.9342,20.9342,20.9342,20.9342,-0.0856
06/25/25,21.0198,21.0198,21.0198,21.0198,-0.1273
06/24/25,21.1471,21.1471,21.1471,21.1471,0.3461
06/23/25,20.801,20.801,20.801,20.801,0.0229
06/20/25,20.7781,20.7781,20.7781,20.7781,0.0169
06/19/25,20.7612,20.7612,20.7612,20.7612,-0.186
06/18/25,20.9472,20.9472,20.9472,20.9472,0.0428
06/17/25,20.9044,20.9044,20.9044,20.9044,-0.2009
06/16/25,21.1053,21.1053,21.1053,21.1053,0.0547
06/13/25,21.0506,21.0506,21.0506,21.0506,-0.3939
06/12/25,21.4445,21.4445,21.4445,21.4445,-0.0398
06/11/25,21.4843,21.4843,21.4843,21.4843,0.0109
06/10/25,21.4734,21.4734,21.4734,21.4734,0.1443
06/09/25,21.3291,21.3291,21.3291,21.3291,0.0029
06/06/25,21.3262,21.3262,21.3262,21.3262,0.0667
06/05/25,21.2595,21.2595,21.2595,21.2595,-0.0418
06/04/25,21.3013,21.3013,21.3013,21.3013,0.1721
06/03/25,21.1292,21.1292,21.1292,21.1292,-0.0348
06/02/25,21.164,21.164,21.164,21.164,0.0607
